,aspect_list
2051,graphics editing
2052,complex data analysis
2053,costs
2054,shipping
2055,ram
2056,performance
2057,surf the web
2058,hardcopy manuel
2059,drive
2060,visual
2061,priced
2062,works
2063,OS
2064,keyboard
2065,plate
2066,mouse command buttons
2067,features
2068,speeds
2069,touch pad
2070,size
2071,features
2072,lighted keyboard
2073,mouse pad
2074,Battery life
2075,operation system
2076,trackpad
2077,Applications
2078,hard drive
2079,Windows
2080,Warrenty
2081,agents
2082,keyboard
2083,three year warranty
2084,extended warranty
2085,internet
2086,RAM
2087,memory
2088,Nvidia grafics card
2089,work
2090,resolution
2091,"left ""mouse"" button"
2092,keyboard
2093,feature
2094,type
2095,casing
2096,"15"""
2097,"17"""
2098,feel
2099,hard disc
2100,virus protection programs for a Mac
2101,Screen
2102,HDMI
2103,graphics
2104,wireless switch
2105,build quality
2106,technical person
2107,mouse
2108,shipped
2109,size
2110,internet connection
2111,quality
2112,performance
2113,price
2114,recovery DVDs
2115,driver/application DVD
2116,photo detection software
2117,speakers
2118,price
2119,use
2120,touchpad
2121,screen
2122,mouse pointer
2123,hardware
2124,KEYBOARD
2125,Windows
2126,cost
2127,quality
2128,engineering design
2129,warranty
2130,applications
2131,screen
2132,use
2133,work
2134,speakers
2135,hinges
2136,programs
2137,work
2138,Customer Service
2139,programs
2140,Keynote
2141,Pages
2142,Numbers
2143,expense
2144,run
2145,components
2146,price
2147,price
2148,cd drive
2149,price
2150,quality
2151,quality
2152,price
2153,pointer
2154,shipping
2155,price
2156,budget
2157,life span
2158,design
2159,looks
2160,feel
2161,my toshiba feature
2162,layout
2163,one of the programs
2164,use
2165,Touchpad
2166,USB
2167,Touchpad
2168,iwork
2169,office
2170,word processor
2171,windows
2172,document creation
2173,battery
2174,memory
2175,memory stick
2176,memory stick
2177,keys
2178,keyboard
2179,button below the mouse pad
2180,screen
2181,paint
2182,lightscribe
2183,touchpad
2184,applications
2185,iphoto
2186,photo application
2187,Word
2188,17 ince screen
2189,screen
2190,warranty period
2191,HD
2192,drivers
2193,Windows update
2194,OSX
2195,Windows XP
2196,Features
2197,Performance
2198,Battery Life
2199,Price
2200,Value
2201,windows
2202,graphics
2203,system
2204,WiFi
2205,software
2206,update programs
2207,navigate
2208,Applications
2209,MS applications
2210,Customer Service
2211,screen
2212,carry
2213,weight
2214,applications
2215,programs
2216,Internet tabs
2217,noises
2218,bottom of the computer
2219,repair technician
2220,software
2221,carry
2222,handle
2223,Cords
2224,power
2225,headphones
2226,mic
2227,network connection
2228,setup
2229,cords
2230,cords
2231,power supply
2232,Core2 Quad
2233,battery life
2234,screen
2235,screen
2236,screen
2237,applications
2238,charger unit
2239,feel
2240,Looks
2241,signals
2242,signal
2243,feel
2244,quality
2245,memory
2246,Windows 7 Starter
2247,Win 7 Home
2248,runs
2249,drive
2250,edges
2251,incase shells
2252,keyboard
2253,weight
2254,use
2255,shipping
2256,repair center
2257,applications
2258,battery
2259,DVD burner
2260,power supply
2261,case
2262,keyboard
2263,keyboard functions
2264,iMovie
2265,SERVICE FACILITY
2266,Customer Service
2267,warranty
2268,programs
2269,system
2270,using the internet
2271,buttons
2272,safe mode
2273,18-inch
2274,universal charger
2275,powerpoint
2276,desktop background
2277,window's 7 starter
2278,function
2279,IT support technicians
2280,charger
2281,hardware
2282,customer service center
2283,screen
2284,videocard
2285,shaped
2286,satellite card
2287,battery life
2288,battery
2289,touchpad
2290,depot
2291,Price
2292,zooming
2293,screen
2294,sized
2295,use
2296,price
2297,features
2298,power
2299,Keyboard
2300,features
2301,call center
2302,backlit keyboard
2303,memory
2304,battery life
2305,service rep
2306,power adapter
2307,program
2308,windows movie maker
2309,hard drive
2310,antivirus software
2311,design
2312,beauty
2313,price
2314,Garmin GPS software
2315,Microsoft Office 2003
2316,keyboard
2317,staff
2318,fan noise
2319,price
2320,warranty
2321,price
2322,screen
2323,battery life
2324,storage
2325,apple associates
2326,screen
2327,price
2328,mousepad sensitivity
2329,iWork
2330,MS Office
2331,MS Office
2332,Keyboard
2333,mac osx
2334,operating system
2335,keyboard
2336,hinge
2337,motherboard
2338,surfing the web
2339,use
2340,hard drive
2341,use
2342,HDD bay
2343,tutorials
2344,leather carrying case
2345,keyboard
2346,mouse
2347,touch pad
2348,screen
2349,commodity hardware
2350,Paralles
2351,Windows XP Professional
2352,Windows 7 Home Premium
2353,Windows Server Enterprise 2003
2354,Windows Server 2008 Enterprise
2355,repair
2356,repair
2357,operating system
